,,1000,2000,3000,4000,5000,6000,7000,8000,9000,10000,11000,12000,13000,14000,15000,16000,17000,18000,19000,20000,21000,22000,23000,24000,25000,26000,27000,28000,29000,30000,31000,32000,33000,34000,35000,36000,37000,38000,39000,40000,41000,42000,43000,44000,45000,46000,47000
地域 コード,地域,北海道,青森県,岩手県,宮城県,秋田県,山形県,福島県,茨城県,栃木県,群馬県,埼玉県,千葉県,東京都,神奈川県,新潟県,富山県,石川県,福井県,山梨県,長野県,岐阜県,静岡県,愛知県,三重県,滋賀県,京都府,大阪府,兵庫県,奈良県,和歌山県,鳥取県,島根県,岡山県,広島県,山口県,徳島県,香川県,愛媛県,高知県,福岡県,佐賀県,長崎県,熊本県,大分県,宮崎県,鹿児島県,沖縄県
1000,北海道,0,370,86,17,47,-29,156,-112,-156,-82,-186,-360,"-1,886",-208,86,24,10,-3,22,27,48,107,-35,-31,20,37,-76,1,84,-20,3,-13,-41,-20,-33,22,-18,79,13,103,-3,-10,-11,-49,-39,26,8
2000,青森県,-370,0,-148,"-1,255",-17,-44,-60,-64,-86,-44,-347,-300,-960,-393,-19,4,19,3,-32,-35,9,44,-179,-24,7,59,-92,-24,20,-2,10,13,3,-2,4,17,15,-14,-2,-40,-2,-5,-19,-5,-4,41,11
3000,岩手県,-86,148,0,-953,179,-75,43,-92,-34,-66,-290,-230,-948,-336,2,-6,23,-15,-33,-35,-7,10,-40,21,-10,-40,-53,-20,-2,-19,-14,5,1,-2,-6,6,-13,23,9,-4,0,19,4,-2,-10,-25,-39
4000,宮城県,-17,"1,255",953,0,817,690,862,-91,-59,-19,-821,-816,"-2,242",-809,161,-19,19,24,-22,65,25,125,-228,-29,-28,-88,-318,-39,-5,7,29,-11,18,-35,4,2,9,4,-2,-134,-3,-8,7,2,42,-18,13
5000,秋田県,-47,17,-179,-817,0,-31,-40,-69,-67,-36,-235,-159,-579,-369,-76,-7,-14,7,7,5,-18,-23,-36,-17,-21,-8,-56,-14,13,3,1,-7,12,-16,0,-8,-1,-4,-1,5,9,-7,1,2,-3,-2,-10
6000,山形県,29,44,75,-690,31,0,-71,15,-45,-44,-290,-258,-796,-543,-208,10,-14,5,24,-41,4,-40,-66,17,-24,-33,-25,8,-10,-3,6,-5,28,-6,-21,-3,9,-6,4,-14,6,-9,-9,16,-5,9,-3
7000,福島県,-156,60,-43,-862,40,71,0,-400,-494,-73,-668,-415,"-1,656",-922,-70,36,18,-10,-70,-32,2,-76,-88,-47,-24,-51,-64,-8,-20,-18,-2,13,-12,14,-9,-3,1,-1,0,-63,0,11,-13,6,-5,-13,0
8000,茨城県,112,64,92,91,69,-15,400,0,-192,61,0,393,115,-351,123,29,-11,43,8,-33,32,150,212,86,50,26,-102,18,27,36,14,-9,-59,95,40,19,31,-24,12,107,0,74,73,54,35,-4,38
9000,栃木県,156,86,34,59,67,45,494,192,0,-143,-710,60,-715,-304,99,-3,7,3,-8,-31,41,-37,105,5,-44,-75,-40,-36,30,4,28,-22,27,47,35,27,-13,7,-1,57,27,14,-31,-41,-44,-1,-6
10000,群馬県,82,44,66,19,36,44,73,-61,143,0,-533,124,-336,-345,233,42,3,-18,-28,260,41,33,-11,-27,-44,-29,148,-12,-15,-9,23,-22,68,21,20,7,9,38,27,78,26,19,17,42,-7,-13,27
11000,埼玉県,186,347,290,821,235,290,668,0,710,533,0,-70,"17,663",737,"1,099",153,143,69,-24,98,288,77,700,51,157,95,510,411,69,41,33,64,150,413,175,45,78,131,44,137,-22,145,50,25,5,40,-53
12000,千葉県,360,300,230,816,159,258,415,-393,-60,-124,70,0,"9,375",-397,604,183,76,101,-164,-67,13,282,810,115,93,212,754,458,66,45,35,53,194,376,173,95,53,136,47,373,44,177,179,21,41,102,-74
13000,東京都,"1,886",960,948,"2,242",579,796,"1,656",-115,715,336,"-17,663","-9,375",0,"-13,896","1,863",620,715,522,54,84,"1,087","1,823","6,131",992,717,"1,366","5,597","3,629",559,355,232,249,956,"2,072",398,296,564,723,309,"2,323",370,547,599,454,366,189,-397
14000,神奈川県,208,393,336,809,369,543,922,351,304,345,-737,397,"13,896",0,973,151,278,160,31,173,404,"1,646","2,269",307,279,481,"1,530","1,013",138,109,90,54,389,796,235,77,162,122,99,547,138,369,205,135,261,-25,112
15000,新潟県,-86,19,-2,-161,76,208,70,-123,-99,-233,"-1,099",-604,"-1,863",-973,0,-70,-114,52,-49,48,-7,-27,-217,-45,-25,-67,-116,-29,-9,-14,-2,8,-44,-66,-23,-2,-9,-35,2,-56,-4,6,5,-13,-8,39,-13
16000,富山県,-24,-4,6,19,7,-10,-36,-29,3,-42,-153,-183,-620,-151,70,0,-231,-101,-25,7,91,-18,-204,26,-38,-46,-203,-5,13,14,5,-23,31,10,-21,16,6,0,6,-13,-3,-3,-11,24,-1,-17,6
17000,石川県,-10,-19,-23,-19,14,14,-18,11,-7,-3,-143,-76,-715,-278,114,231,0,119,-1,57,37,39,-174,123,8,-49,-232,-47,13,1,1,-4,-41,28,22,8,28,3,13,-104,9,9,8,5,-5,15,5
18000,福井県,3,-3,15,-24,-7,-5,10,-43,-3,18,-69,-101,-522,-160,-52,101,-119,0,29,-18,61,37,-245,16,33,-142,-445,-64,6,-1,10,-80,11,31,-28,11,-7,-15,7,-8,4,13,-23,20,-8,-14,20
19000,山梨県,-22,32,33,22,-7,-24,70,-8,8,28,24,164,-54,-31,49,25,1,-29,0,28,24,-108,-27,38,-26,29,70,44,34,-10,2,-16,26,43,26,25,24,26,4,69,-3,12,-14,28,25,22,10
20000,長野県,-27,35,35,-65,-5,41,32,33,31,-260,-98,67,-84,-173,-48,-7,-57,18,-28,0,-12,162,-133,52,27,26,14,39,22,-3,-16,4,15,41,25,7,15,-23,-2,107,9,-14,32,-9,0,5,28
21000,岐阜県,-48,-9,7,-25,18,-4,-2,-32,-41,-41,-288,-13,"-1,087",-404,7,-91,-37,-61,-24,12,0,-109,"-2,341",-55,11,-67,-256,-108,38,-24,-4,0,-54,14,55,10,-8,-16,-9,22,14,15,-50,-18,-20,6,-10
22000,静岡県,-107,-44,-10,-125,23,40,76,-150,37,-33,-77,-282,"-1,823","-1,646",27,18,-39,-37,108,-162,109,0,-738,184,-59,65,-156,-18,-19,41,161,19,65,225,218,13,19,1,-5,46,33,36,0,11,-36,24,-11
23000,愛知県,35,179,40,228,36,66,88,-212,-105,11,-700,-810,"-6,131","-2,269",217,204,174,245,27,133,"2,341",738,0,"1,362",406,-169,-808,24,234,79,89,38,217,499,127,49,83,159,92,136,65,146,-23,21,-49,-2,-57
24000,三重県,31,24,-21,29,17,-17,47,-86,-5,27,-51,-115,-992,-307,45,-26,-123,-16,-38,-52,55,-184,"-1,362",0,-6,-72,-310,53,3,-2,22,11,31,80,14,43,23,46,-3,57,20,9,-25,-5,25,62,4
25000,滋賀県,-20,-7,10,28,21,24,24,-50,44,44,-157,-93,-717,-279,25,38,-8,-33,26,-27,-11,59,-406,6,0,"1,518",20,367,137,38,18,36,45,124,73,29,-46,46,40,71,22,-35,-26,-11,-2,1,28
26000,京都府,-37,-59,40,88,8,33,51,-26,75,29,-95,-212,"-1,366",-481,67,46,49,142,-29,-26,67,-65,169,72,"-1,518",0,"-2,518",56,193,60,58,55,211,180,71,91,88,118,104,163,23,33,-11,47,44,45,-7
27000,大阪府,76,92,53,318,56,25,64,102,40,-148,-510,-754,"-5,597","-1,530",116,203,232,445,-70,-14,256,156,808,310,-20,"2,518",0,"2,610",-471,"1,210",241,200,890,"1,304",102,333,483,615,253,731,80,97,76,80,29,-192,-276
28000,兵庫県,-1,24,20,39,14,-8,8,-18,36,12,-411,-458,"-3,629","-1,013",29,5,47,64,-44,-39,108,18,-24,-53,-367,-56,"-2,610",0,61,120,71,7,589,543,182,180,252,220,130,322,42,92,83,76,48,-39,-16
29000,奈良県,-84,-20,2,5,-13,10,20,-27,-30,15,-69,-66,-559,-138,9,-13,-13,-6,-34,-22,-38,19,-234,-3,-137,-193,471,-61,0,-89,11,7,-22,76,-65,-34,45,39,-9,-46,-13,15,25,-1,-7,-3,-36
30000,和歌山県,20,2,19,-7,-3,3,18,-36,-4,9,-41,-45,-355,-109,14,-14,-1,1,10,3,24,-41,-79,2,-38,-60,"-1,210",-120,89,0,16,-9,-4,-10,-2,11,16,-11,13,-11,2,18,6,-11,-1,-8,-18
31000,鳥取県,-3,-10,14,-29,-1,-6,2,-14,-28,-23,-33,-35,-232,-90,2,-5,-1,-10,-2,16,4,-161,-89,-22,-18,-58,-241,-71,-11,-16,0,183,27,-29,-14,0,20,-19,-13,12,-32,-25,11,9,-12,5,12
32000,島根県,13,-13,-5,11,7,5,-13,9,22,22,-64,-53,-249,-54,-8,23,4,80,16,-4,0,-19,-38,-11,-36,-55,-200,-7,-7,9,-183,0,-34,-16,-136,-4,19,-38,5,-178,10,2,-9,9,-10,22,18
33000,岡山県,41,-3,-1,-18,-12,-28,12,59,-27,-68,-150,-194,-956,-389,44,-31,41,-11,-26,-15,54,-65,-217,-31,-45,-211,-890,-589,22,4,-27,34,0,158,-33,-9,90,258,105,-156,-8,81,6,17,-2,-1,-8
34000,広島県,20,2,2,35,16,6,-14,-95,-47,-21,-413,-376,"-2,072",-796,66,-10,-28,-31,-43,-41,-14,-225,-499,-80,-124,-180,"-1,304",-543,-76,10,29,16,-158,0,258,94,175,7,0,-711,7,75,-6,-77,12,-2,-3
35000,山口県,33,-4,6,-4,0,21,9,-40,-35,-20,-175,-173,-398,-235,23,21,-22,28,-26,-25,-55,-218,-127,-14,-73,-71,-102,-182,65,2,14,136,33,-258,0,-21,43,-5,18,"-1,478",14,146,50,33,41,26,-68
36000,徳島県,-22,-17,-6,-2,8,3,3,-19,-27,-7,-45,-95,-296,-77,2,-16,-8,-11,-25,-7,-10,-13,-49,-43,-29,-91,-333,-180,34,-11,0,4,9,-94,21,0,-182,-39,-9,-12,0,15,-21,-14,-6,-1,-19
37000,香川県,18,-15,13,-9,1,-9,-1,-31,13,-9,-78,-53,-564,-162,9,-6,-28,7,-24,-15,8,-19,-83,-23,46,-88,-483,-252,-45,-16,-20,-19,-90,-175,-43,182,0,239,128,-74,-16,-7,-31,3,-28,-32,22
38000,愛媛県,-79,14,-23,-4,4,6,1,24,-7,-38,-131,-136,-723,-122,35,0,-3,15,-26,23,16,-1,-159,-46,-46,-118,-615,-220,-39,11,19,38,-258,-7,5,39,-239,0,80,-123,0,53,-69,-39,0,10,28
39000,高知県,-13,2,-9,2,1,-4,0,-12,1,-27,-44,-47,-309,-99,-2,-6,-13,-7,-4,2,9,5,-92,3,-40,-104,-253,-130,9,-13,13,-5,-105,0,-18,9,-128,-80,0,-84,7,1,17,3,10,1,25
40000,福岡県,-103,40,4,134,-5,14,63,-107,-57,-78,-137,-373,"-2,323",-547,56,13,104,8,-69,-107,-22,-46,-136,-57,-71,-163,-731,-322,46,11,-12,178,156,711,"1,478",12,74,123,84,0,814,"2,984",452,"1,076",825,"1,190",608
41000,佐賀県,3,2,0,3,-9,-6,0,0,-27,-26,22,-44,-370,-138,4,3,-9,-4,3,-9,-14,-33,-65,-20,-22,-23,-80,-42,13,-2,32,-10,8,-7,-14,0,16,0,-7,-814,0,424,-60,56,33,-55,5
42000,長崎県,10,5,-19,8,7,9,-11,-74,-14,-19,-145,-177,-547,-369,-6,3,-9,-13,-12,14,-15,-36,-146,-9,35,-33,-97,-92,-15,-18,25,-2,-81,-75,-146,-15,7,-53,-1,"-2,984",-424,0,-230,-24,-133,10,12
43000,熊本県,11,19,-4,-7,-1,9,13,-73,31,-17,-50,-179,-599,-205,-5,11,-8,23,14,-32,50,0,23,25,26,11,-76,-83,-25,-6,-11,9,-6,6,-50,21,31,69,-17,-452,60,230,0,114,215,211,24
44000,大分県,49,5,2,-2,-2,-16,-6,-54,41,-42,-25,-21,-454,-135,13,-24,-5,-20,-28,9,18,-11,-21,5,11,-47,-80,-76,1,11,-9,-9,-17,77,-33,14,-3,39,-3,"-1,076",-56,24,-114,0,26,58,51
45000,宮崎県,39,4,10,-42,3,5,5,-35,44,7,-5,-41,-366,-261,8,1,5,8,-25,0,20,36,49,-25,2,-44,-29,-48,7,1,12,10,2,-12,-41,6,28,0,-10,-825,-33,133,-215,-26,0,34,38
46000,鹿児島県,-26,-41,25,18,2,-9,13,4,1,13,-40,-102,-189,25,-39,17,-15,14,-22,-5,-6,-24,2,-62,-1,-45,192,39,3,8,-5,-22,1,2,-26,1,32,-10,-1,"-1,190",55,-10,-211,-58,-34,0,178
47000,沖縄県,-8,-11,39,-13,10,3,0,-38,6,-27,53,74,397,-112,13,-6,-5,-20,-10,-28,10,11,57,-4,-28,7,276,16,36,18,-12,-18,8,3,68,19,-22,-28,-25,-608,-5,-12,-24,-51,-38,-178,0