年　次,,中位,高位,低位
,,,,
平成 17,(2005),1.2601 ,1.2601 ,1.2601 
18,(2006),1.2942 ,1.3243 ,1.2662 
19,(2007),1.2467 ,1.3170 ,1.1626 
20,(2008),1.2297 ,1.3179 ,1.1185 
21,(2009),1.2232 ,1.3214 ,1.0980 
22,(2010),1.2184 ,1.3282 ,1.0806 
23,(2011),1.2152 ,1.3383 ,1.0666 
24,(2012),1.2135 ,1.3516 ,1.0560 
25,(2013),1.2134 ,1.3677 ,1.0486 
26,(2014),1.2148 ,1.3853 ,1.0441 
27,(2015),1.2171 ,1.4033 ,1.0418 
28,(2016),1.2199 ,1.4210 ,1.0410 
29,(2017),1.2227 ,1.4376 ,1.0411 
30,(2018),1.2252 ,1.4528 ,1.0415 
31,(2019),1.2273 ,1.4664 ,1.0421 
32,(2020),1.2289 ,1.4783 ,1.0425 
33,(2021),1.2302 ,1.4885 ,1.0426 
34,(2022),1.2311 ,1.4971 ,1.0423 
35,(2023),1.2320 ,1.5042 ,1.0417 
36,(2024),1.2328 ,1.5100 ,1.0409 
37,(2025),1.2335 ,1.5145 ,1.0400 
38,(2026),1.2343 ,1.5181 ,1.0393 
39,(2027),1.2351 ,1.5209 ,1.0386 
40,(2028),1.2360 ,1.5231 ,1.0383 
41,(2029),1.2371 ,1.5249 ,1.0382 
42,(2030),1.2382 ,1.5264 ,1.0384 
43,(2031),1.2394 ,1.5277 ,1.0389 
44,(2032),1.2408 ,1.5289 ,1.0397 
45,(2033),1.2422 ,1.5301 ,1.0407 
46,(2034),1.2436 ,1.5311 ,1.0419 
47,(2035),1.2450 ,1.5322 ,1.0433 
48,(2036),1.2465 ,1.5332 ,1.0448 
49,(2037),1.2479 ,1.5342 ,1.0463 
50,(2038),1.2492 ,1.5351 ,1.0478 
51,(2039),1.2505 ,1.5360 ,1.0491 
52,(2040),1.2517 ,1.5368 ,1.0504 
53,(2041),1.2528 ,1.5376 ,1.0516 
54,(2042),1.2538 ,1.5383 ,1.0527 
55,(2043),1.2548 ,1.5389 ,1.0538 
56,(2044),1.2557 ,1.5395 ,1.0547 
57,(2045),1.2566 ,1.5401 ,1.0556 
58,(2046),1.2574 ,1.5407 ,1.0564 
59,(2047),1.2582 ,1.5412 ,1.0571 
60,(2048),1.2589 ,1.5418 ,1.0578 
61,(2049),1.2597 ,1.5424 ,1.0584 
62,(2050),1.2604 ,1.5429 ,1.0591 
63,(2051),1.2611 ,1.5435 ,1.0598 
64,(2052),1.2618 ,1.5441 ,1.0605 
65,(2053),1.2625 ,1.5447 ,1.0613 
66,(2054),1.2632 ,1.5454 ,1.0622 
67,(2055),1.2640 ,1.5461 ,1.0630 
,,,,
"人口動態統計と同定義に基づく合計特殊出生率．平成17(2005)年は実績値である. 
死亡中位推計による．",,,,