全国・都道府県・大都市4 コード,全国・都道府県・大都市4,15歳,16歳,17歳,18歳,19歳,20歳,21歳,22歳,23歳,24歳,25歳,26歳,27歳,28歳,29歳,30歳,31歳,32歳,33歳,34歳,35歳,36歳,37歳,38歳,39歳,40歳,41歳,42歳,43歳,44歳,45歳,46歳,47歳,48歳,49歳
1000,北海道,-38,-8,-21,-421,-160,-682,-276,-614,-266,-300,-245,-97,-174,-24,-79,-45,-107,-59,-23,-3,-35,-29,-3,-47,5,-32,-26,-37,-31,14,-16,-24,-43,-23,-39
2000,青森県,-40,-3,-2,-894,-79,-574,-254,-615,-167,-79,-78,-48,-8,0,-27,16,-10,-17,-16,-35,-2,25,-27,8,-19,-22,-5,-18,-52,-35,-7,-35,-26,-26,-25
3000,岩手県,-12,-15,-3,-747,-65,-406,-161,-457,-109,-102,-56,-46,-13,-28,-32,-14,-23,-29,7,-14,20,-6,-9,-15,14,11,-10,14,19,6,-33,-5,-31,-1,-24
4000,宮城県,22,12,0,67,-20,61,-13,-316,-117,-72,-69,-67,13,-90,-42,-37,4,3,-28,-22,-9,4,16,-19,-32,-14,3,-43,-23,39,13,13,-7,-18,11
5000,秋田県,-32,-5,-5,-703,-79,-385,-175,-524,-97,-86,-53,-23,-26,-20,11,-25,-17,-24,-6,-2,-16,-5,10,-17,-19,-15,-5,-9,-6,-15,-3,-6,-12,-12,-11
6000,山形県,-22,-6,-8,-507,-45,-385,-186,-515,-111,-70,-22,-53,-30,1,-39,-1,-18,-19,14,2,1,-14,-17,-11,-7,5,-23,-15,-13,-9,-4,-6,-5,-12,-8
7000,福島県,-28,-14,-18,-673,-159,-592,-240,-879,-231,-169,-119,-97,-56,23,-27,-26,-13,-31,-26,-22,20,18,-35,-25,-2,-16,-31,-18,-22,-9,-25,-11,-15,-8,-11
8000,茨城県,-31,-16,-9,-319,-50,-382,-175,-1068,-372,-271,-94,-150,-126,-37,-128,-52,-34,-11,-37,-3,-29,-7,63,-58,38,40,-15,46,-13,21,-8,-2,0,-9,-23
9000,栃木県,-28,-1,-1,-257,-33,-249,-84,-697,-109,-63,-92,-20,-7,-25,27,38,33,-4,-17,26,-9,18,-5,33,-1,7,12,-3,-22,-26,-25,-3,-17,-3,3
10000,群馬県,-16,-3,-1,-180,-46,-332,-114,-946,-132,-138,-193,-130,-47,-60,-42,-16,-13,-3,-32,-34,10,-13,-45,-4,-41,-2,-34,5,-19,-8,-28,-21,-5,3,-24
11000,埼玉県,30,-19,24,1072,146,637,334,639,63,-112,-85,1,-9,10,74,108,62,101,166,-5,139,135,97,18,134,56,90,12,66,22,40,-6,76,50,60
12000,千葉県,1,-5,34,844,113,599,257,1068,177,46,-60,-99,26,53,72,103,178,144,106,68,181,26,157,143,58,52,26,32,118,40,45,46,27,11,69
13000,東京都,345,175,100,6106,1556,6135,2967,12158,4470,3519,2868,2237,1576,1253,1038,741,335,248,88,181,-115,-16,-65,58,-78,22,178,220,166,153,174,225,231,203,173
14000,神奈川県,17,6,20,1716,415,1797,855,2458,278,363,321,105,209,-16,28,103,10,40,51,-24,-24,12,-46,9,27,26,-67,87,18,6,32,29,46,-20,55
15000,新潟県,-7,-8,-4,-509,-153,-654,-345,-977,-235,-136,-43,-57,-86,-44,-69,-1,-30,-3,9,30,-1,-40,-8,-6,-13,-8,-15,-52,0,-12,0,-3,-10,-29,-8
16000,富山県,-7,-7,-3,-179,-33,-145,-87,-192,-110,-54,-44,-36,-27,-29,-11,-34,3,7,-22,15,9,21,-1,-1,2,-10,0,13,7,-13,-18,-7,1,-3,0
17000,石川県,19,-4,-2,25,-8,-157,-38,-327,-113,-153,-57,-4,-13,-42,-39,14,40,-2,44,3,7,10,19,22,28,15,-7,1,-2,12,11,11,6,-10,-6
18000,福井県,-8,-2,-8,-131,-39,-157,-83,-232,-54,-93,-33,-35,-2,-8,-26,-18,14,-2,4,16,2,-13,3,6,13,-12,-8,-4,6,-8,6,4,7,0,5
19000,山梨県,32,-4,-12,70,3,-173,-111,-655,-133,-106,-82,-62,-35,-29,17,-29,-10,-9,21,-10,-12,1,9,-24,13,10,-9,1,-7,3,-2,-9,-11,-9,-5
20000,長野県,-54,-7,-3,-581,-160,-495,-250,-653,-124,-113,-84,7,-22,40,-1,20,16,26,74,32,30,12,41,35,21,6,31,9,-12,19,-8,-34,-14,15,-2
21000,岐阜県,-17,-33,-22,-295,-50,-310,-205,-580,-256,-170,-231,-202,-254,-179,-157,-84,-38,-81,-25,-38,-20,10,-25,-33,-31,-16,-8,-13,-2,-6,-16,-3,-26,16,-36
22000,静岡県,-58,-3,-13,-720,-203,-499,-215,-959,-177,-51,-59,-50,-15,-61,-65,-80,2,-49,-22,28,6,-31,-5,0,-9,-9,7,7,-44,-2,-39,-30,-33,-4,-30
23000,愛知県,-27,17,15,428,-13,320,163,837,245,239,110,261,173,194,116,20,81,63,25,-21,-51,-17,25,-19,-52,38,-52,-59,-39,-16,13,-7,-18,-26,-32
24000,三重県,-25,-23,-20,-247,-65,-257,-115,-530,-176,-139,-98,-122,-113,-61,-43,-26,-47,-26,-23,-7,-44,32,-18,-17,6,-26,-17,-10,-21,-30,2,-19,4,-35,-22
25000,滋賀県,-15,3,3,-7,-11,-76,-28,-346,-76,-39,-76,-101,-34,0,-37,4,16,10,17,24,50,8,13,11,19,0,26,-1,-11,16,11,-24,-23,-8,12
26000,京都府,20,9,6,641,173,239,178,-123,-103,-164,-208,-171,-174,-216,-35,-163,-9,-53,-60,-73,-37,-25,9,-32,35,-12,26,18,33,6,9,30,22,9,5
27000,大阪府,25,47,24,1115,229,1495,725,1707,598,310,229,119,202,7,-131,-23,-215,-193,-187,-115,-127,-123,-153,-62,-76,-15,-15,-43,-48,16,19,-6,38,53,82
28000,兵庫県,-57,-22,16,113,-9,74,-133,-633,-405,-256,-244,-160,-173,-175,-126,-136,-59,12,-59,-44,-3,-30,-14,-42,-37,-23,-58,-35,4,-12,-23,8,0,-39,-49
29000,奈良県,209,7,-14,20,-55,-73,-53,-390,-253,-188,-170,-199,-167,-118,-69,-67,-68,-7,-25,29,2,-6,-6,9,-21,-32,-2,37,21,16,-10,-11,-14,6,0
30000,和歌山県,-26,0,-6,-180,-58,-191,-147,-320,-145,-92,-98,-50,-43,-62,-27,-69,-34,-48,-33,6,-7,9,-12,-10,-20,-14,-14,-28,11,-8,-17,-28,1,0,-13
31000,鳥取県,-20,2,-4,-126,-37,-156,-106,-214,-75,-48,-33,-13,-10,-24,40,-6,7,10,-30,-8,6,3,-10,-14,-6,9,-19,-1,-16,10,-13,3,-12,5,-9
32000,島根県,-3,4,1,-232,-41,-210,-149,-303,-59,-40,-31,0,-18,16,5,2,31,15,23,10,4,10,21,-4,1,8,16,-10,-7,-6,-2,1,-15,-6,-3
33000,岡山県,5,-8,3,67,-48,-191,-7,-211,-108,-71,-89,-123,-91,-32,-60,-65,-12,-55,-35,-18,-37,-20,6,8,-11,-13,7,-6,34,-19,1,-20,0,-17,-17
34000,広島県,-27,-11,-4,-49,-35,-189,-108,-382,-83,-96,-73,-67,-35,-58,-38,24,39,-49,-24,-40,23,-26,13,-10,54,-34,10,-7,-48,-52,-39,-11,-40,30,-44
35000,山口県,-29,-14,-8,-205,-149,-379,-153,-511,-207,-161,-71,-61,-64,-56,36,-57,-57,9,14,0,19,1,-40,-5,15,-7,-29,2,-4,-15,-14,-10,9,-8,-18
36000,徳島県,-11,-4,-3,-119,-26,-121,-69,-295,-90,-58,-47,-21,-37,-7,-35,1,-1,-5,-6,30,-13,-9,6,-23,-4,-5,-1,-16,-3,-17,-6,-7,3,-11,-12
37000,香川県,-2,-2,-1,-130,-47,-138,-105,-175,-64,-27,-35,-54,-46,-5,-24,8,50,27,22,16,9,4,-7,31,18,18,-4,-10,8,-20,-9,-13,-13,-17,12
38000,愛媛県,-11,-10,-1,-349,-63,-315,-184,-439,-117,-107,-69,-77,-21,4,-38,-24,-16,21,23,-19,-5,-7,-22,-3,-5,0,-14,0,-22,-4,-7,-20,9,-1,-9
39000,高知県,1,3,-11,-162,-37,-219,-104,-396,-99,-65,-48,-2,-20,11,-1,-6,-19,-7,-11,10,-3,2,-1,6,6,-8,1,-13,11,-13,-10,-2,-5,10,5
40000,福岡県,-4,20,14,914,16,281,255,141,-113,-67,-93,-69,-94,-55,29,-60,5,75,-26,32,44,59,31,68,36,16,90,46,59,31,64,65,-15,17,29
41000,佐賀県,-14,-7,-1,-264,-20,-226,-99,-245,-82,-123,-84,-77,-45,1,-51,-9,-12,-21,5,21,-21,14,37,3,-6,22,-16,-11,-14,26,9,-7,20,1,-1
42000,長崎県,-36,-8,-14,-807,-106,-439,-240,-559,-152,-151,-11,-16,-36,-8,-30,-13,-9,-28,-35,-21,-6,-7,-7,-10,-24,-25,0,-28,-15,-8,-22,-36,-27,-21,-23
43000,熊本県,-43,1,-8,-566,-92,-355,-167,-551,-176,-88,-30,-54,-3,-47,-45,-77,-59,13,51,2,-15,-2,13,-33,38,4,-21,11,-25,-17,7,-7,-17,-3,-28
44000,大分県,-10,-4,-7,-209,-35,-240,-201,-365,-93,-46,-39,-39,-54,-11,-1,-1,-62,-39,-16,-18,-1,-17,-3,5,-12,11,-12,-25,12,-12,-18,10,-18,-3,1
45000,宮崎県,-13,-9,-5,-677,-69,-429,-200,-320,-74,-107,-78,-7,-16,3,31,28,11,16,17,-15,44,-23,15,13,-14,-10,6,-19,-12,-7,-14,-16,-19,-17,-5
46000,鹿児島県,66,-17,-15,-1143,-149,-662,-171,-261,-95,-46,-49,-46,-54,-44,-8,-3,-10,-13,-2,-6,-2,-3,-22,9,-12,6,4,-23,-33,-31,-27,-2,-3,-19,5
47000,沖縄県,-21,-4,-3,-610,-104,-195,-183,-233,-73,40,45,75,99,55,59,37,65,47,45,36,18,55,2,49,-29,-2,4,-4,-7,-26,7,6,-6,-11,10
48000,東京圏,393,157,178,9738,2230,9168,4413,16323,4988,3816,3044,2244,1802,1300,1212,1055,585,533,411,220,181,157,143,228,141,156,227,351,368,221,291,294,380,244,357
49000,名古屋圏,-69,-39,-27,-114,-128,-247,-157,-273,-187,-70,-219,-63,-194,-46,-84,-90,-4,-44,-23,-66,-115,25,-18,-69,-77,-4,-77,-82,-62,-52,-1,-29,-40,-45,-90
50000,大阪圏,197,41,32,1889,338,1735,717,561,-163,-298,-393,-411,-312,-502,-361,-389,-351,-241,-331,-203,-165,-184,-164,-127,-99,-82,-49,-23,10,26,-5,21,46,29,38